Time,Score,Kolossos H Hotels Collection,AEK BC,Game Actions
00:00,,(9) Andreas PETROPOULOS entered the court,,
00:00,,(1) Chevez GOODWIN entered the court,,
00:00,,(25) Gabriel GALVANINI entered the court,,
00:00,,(0) Andrew GOUDELOCK entered the court,,
00:00,,,(7) Dimitris FLIONIS entered the court,
00:00,,,(25) Adonis ARMS entered the court,
00:00,,,(30) Chris SILVA entered the court,
00:00,,,(0) RaiQuan GRAY entered the court,
00:00,,,(24) Frank BARTLEY entered the court,
00:00,,(10) Milan BARBITCH entered the court,,
00:00,,,,Start of game
00:00,,,,Start of quarter 1
00:17,,(10)  Milan BARBITCH made a bad pass,,
00:17,,,(30) Chris SILVA perfomed a steal,
00:37,,(1) Chevez GOODWIN commited a personal foul on (24) Frank BARTLEY,,
00:37,,,(24) Frank BARTLEY missed a free throw (1 of 2),
00:37,0-1,,(24) Frank BARTLEY made a free throw (2 of 2),
00:37,,,(7)  Dimitris FLIONIS made an assist,
00:44,2-1,(1) Chevez GOODWIN performed a 2 points jump shot,,
00:44,,(0)  Andrew GOUDELOCK made an assist,,
01:00,,,(25) Adonis ARMS missed a 3 points jump shot,
01:03,,,(0) RaiQuan GRAY made a offensive rebound,
01:10,,(25) Gabriel GALVANINI commited a personal foul on (0) RaiQuan GRAY,,
01:10,,,(0) RaiQuan GRAY missed a free throw (1 of 2),
01:10,,,(0) RaiQuan GRAY missed a free throw (2 of 2),
01:10,,(9) Andreas PETROPOULOS made a defensive rebound,,
01:28,4-1,(25) Gabriel GALVANINI performed a 2 points jump shot,,
01:45,,,(25)  Adonis ARMS made a turnover in ball handling,
01:45,,(10) Milan BARBITCH perfomed a steal,,
01:50,,(10) Milan BARBITCH missed a 2 points jump shot,,
01:55,,,(25) Adonis ARMS made a defensive rebound,
01:55,,(1) Chevez GOODWIN commited a personal foul on (25) Adonis ARMS,,
01:55,,(1) Chevez GOODWIN left the court,,
01:55,,(30) Ntan AKIN entered the court,,
02:07,,,(24) Frank BARTLEY missed a 3 points jump shot,
02:10,,(9) Andreas PETROPOULOS made a defensive rebound,,
02:20,7-1,(0) Andrew GOUDELOCK performed a 3 points jump shot,,
02:34,,,(25) Adonis ARMS missed a 2 points jump shot,
02:36,,Defensive rebound,,
02:36,,,(25) Adonis ARMS left the court,
39:51,84-87,,(24) Frank BARTLEY made a free throw (2 of 2),
39:58,,,(0) RaiQuan GRAY commited a personal foul on (1) Chevez GOODWIN,
39:58,,,(0) RaiQuan GRAY left the court,
39:58,,,(19) Mindaugas KUZMINSKAS entered the court,
39:58,,(4) Zois KARAMPELAS left the court,,
39:58,,(21) Periklis KOUROUPAKIS entered the court,,
39:58,,(1) Chevez GOODWIN missed a free throw (1 of 3),,
39:58,85-87,(1) Chevez GOODWIN made a free throw (2 of 3),,
39:58,,(1) Chevez GOODWIN missed a free throw (3 of 3),,
39:58,,,(33) Vassilis CHARALAMPOPOULOS made a defensive rebound,
40:00,,,,End of quarter 4
40:00,,,,End of game
