odds_api_name,team,verified
ASVEL,ASV,no
LDLC ASVEL,ASV,no
Barcelona,BAR,no
FC Barcelona,BAR,no
Baskonia,BAS,no
Saski Baskonia,BAS,no
Besiktas,BES,no
Dubai Basketball,DUB,no
Hapoel Tel Aviv,HTA,no
Anadolu Efes,IST,no
Real Madrid,MAD,no
Olimpia Milano,MIL,no
EA7 Emporio Armani Milano,MIL,no
Bayern Munich,MUN,no
Olympiacos,OLY,no
Olympiacos Piraeus,OLY,no
Valencia Basket,PAM,yes
Valencia,PAM,no
Panathinaikos,PAN,no
Panathinaikos Athens,PAN,no
Partizan,PAR,no
Partizan Belgrade,PAR,no
Paris Basketball,PRS,no
Crvena Zvezda,RED,no
Red Star Belgrade,RED,no
Maccabi Tel Aviv,TEL,no
Fenerbahce,ULK,no
Virtus Bologna,VIR,no
Zalgiris Kaunas,ZAL,no
Zalgiris,ZAL,no
Beşiktaş J.K.,BES,yes
Fenerbahce SK,ULK,yes
Virtus Segafredo Bologna,VIR,yes
KK Partizan NIS,PAR,yes
Pallacanestro Olimpia Milano,MIL,yes
