game_id,season,phase,round,idgame,issue,category,detail,pbp_export_game_id,pbp_final_score_matches,refetched_2026_09_25
GBL2018_06C28DF5,2018,RS,11,06C28DF5,missing_box,a_page_without_stats,"header, quarter scores and team leaders only; no stat table in mode=3 or mode=2",4453393,True,False
GBL2018_08D8F463,2018,PO,10,08D8F463,missing_box,a_page_without_stats,"header, quarter scores and team leaders only; no stat table in mode=3 or mode=2",4635891,True,False
GBL2018_118A73C9,2018,RS,19,118A73C9,missing_box,a_page_without_stats,"header, quarter scores and team leaders only; no stat table in mode=3 or mode=2",4580505,True,True
GBL2018_13703A1D,2018,RS,21,13703A1D,missing_box,a_page_without_stats,"header, quarter scores and team leaders only; no stat table in mode=3 or mode=2",4590743,True,False
GBL2018_13D47C1C,2018,RS,19,13D47C1C,missing_box,a_page_without_stats,"header, quarter scores and team leaders only; no stat table in mode=3 or mode=2",4580507,True,False
GBL2018_1996318F,2018,RS,23,1996318F,missing_box,a_page_without_stats,"header, quarter scores and team leaders only; no stat table in mode=3 or mode=2",4599543,True,False
GBL2018_1A5C8201,2018,RS,21,1A5C8201,missing_box,a_page_without_stats,"header, quarter scores and team leaders only; no stat table in mode=3 or mode=2",4590749,True,False
GBL2018_2471D07D,2018,RS,26,2471D07D,missing_box,a_page_without_stats,"header, quarter scores and team leaders only; no stat table in mode=3 or mode=2",4617921,True,False
GBL2018_2ACB1554,2018,RS,23,2ACB1554,missing_box,a_page_without_stats,"header, quarter scores and team leaders only; no stat table in mode=3 or mode=2",4599545,True,False
GBL2018_2F2AE8EA,2018,RS,5,2F2AE8EA,missing_box,a_page_without_stats,"header, quarter scores and team leaders only; no stat table in mode=3 or mode=2",4402731,True,False
GBL2018_2FA59D9B,2018,RS,17,2FA59D9B,missing_box,a_page_without_stats,"header, quarter scores and team leaders only; no stat table in mode=3 or mode=2",4562669,True,False
GBL2018_3600DE17,2018,RS,3,3600DE17,missing_box,a_page_without_stats,"header, quarter scores and team leaders only; no stat table in mode=3 or mode=2",4387649,True,False
GBL2018_3FE2A4DC,2018,RS,23,3FE2A4DC,missing_box,a_page_without_stats,"header, quarter scores and team leaders only; no stat table in mode=3 or mode=2",4599547,True,False
GBL2018_449B3034,2018,RS,19,449B3034,missing_box,a_page_without_stats,"header, quarter scores and team leaders only; no stat table in mode=3 or mode=2",4580509,True,False
GBL2018_46028659,2018,RS,7,46028659,missing_box,a_page_without_stats,"header, quarter scores and team leaders only; no stat table in mode=3 or mode=2",4415693,True,False
